Municipality,CBS code
All, 0
Aa en Hunze,1680
Aalburg,738
Aalsmeer,358
Aalten,197
Achtkarspelen,59
Alblasserdam,482
Albrandswaard,613
Alkmaar,361
Almelo,141
Almere,34
Alphen aan den Rijn,484
Alphen-Chaam,1723
Ameland,60
Amersfoort,307
Amstelveen,362
Amsterdam,363
Apeldoorn,200
Appingedam,3
Arnhem,202
Assen,106
Asten,743
Baarle-Nassau,744
Baarn,308
Barendrecht,489
Barneveld,203
Bedum,5
Beek,888
Beemster,370
Beesel,889
Bellingwedde,7
Bergambacht,491
Bergeijk,1724
Bergen (LI),893
Bergen (NH),373
Bergen op Zoom,748
Berkelland,1859
Bernheze,1721
Bernisse,568
Best,753
Beuningen,209
Beverwijk,375
het Bildt,63
De Bilt,310
Binnenmaas,585
Bladel,1728
Blaricum,376
Bloemendaal,377
Boarnsterhim,55
Bodegraven-Reeuwijk,1901
Boekel,755
Ten Boer,9
Borger-Odoorn,1681
Borne,147
Borsele,654
Boxmeer,756
Boxtel,757
Breda,758
Brielle,501
Bronckhorst,1876
Brummen,213
Brunssum,899
Bunnik,312
Bunschoten,313
Buren,214
Bussum,381
Capelle aan den IJssel,502
Castricum,383
Coevorden,109
Cranendonck,1706
Cromstrijen,611
Cuijk,1684
Culemborg,216
Dalfsen,148
Dantumadiel,1891
Delft,503
Delfzijl,10
Deurne,762
Deventer,150
Diemen,384
Dinkelland,1774
Doesburg,221
Doetinchem,222
Dongen,766
Dongeradeel,58
Dordrecht,505
Drechterland,498
Drimmelen,1719
Dronten,303
Druten,225
Duiven,226
Echt-Susteren,1711
Edam-Volendam,385
Ede,228
Eemnes,317
Eemsmond,1651
Eersel,770
Eijsden-Margraten,1903
Eindhoven,772
Elburg,230
Emmen,114
Enkhuizen,388
Enschede,153
Epe,232
Ermelo,233
Etten-Leur,777
Ferwerderadiel,1722
Franekeradeel,70
GaasterlÃÂ¯ÃÂ¿ÃÂ½n-Sleat,653
Geertruidenberg,779
Geldermalsen,236
Geldrop-Mierlo,1771
Gemert-Bakel,1652
Gennep,907
Giessenlanden,689
Gilze en Rijen,784
Goeree-Overflakkee,1924
Goes,664
Goirle,785
Gorinchem,512
Gouda,513
Graft-De Rijp,365
Grave,786
The Hague,518
Groesbeek,241
Groningen,14
Grootegast,15
Gulpen-Wittem,1729
Haaksbergen,158
Haaren,788
Haarlem,392
Haarlemmerliede en Spaarnwoude,393
Haarlemmermeer,394
Halderberge,1655
Hardenberg,160
Harderwijk,243
Hardinxveld-Giessendam,523
Haren,17
Harlingen,72
Hattem,244
Heemskerk,396
Heemstede,397
Heerde,246
Heerenveen,74
Heerhugowaard,398
Heerlen,917
Heeze-Leende,1658
Heiloo,399
Den Helder,400
Hellendoorn,163
Hellevoetsluis,530
Helmond,794
Hendrik-Ido-Ambacht,531
Hengelo,164
s-Hertogenbosch,796
Heumen,252
Heusden,797
Hillegom,534
Hilvarenbeek,798
Hilversum,402
Hof van Twente,1735
Hollands Kroon,1911
Hoogeveen,118
Hoogezand-Sappemeer,18
Hoorn,405
Horst aan de Maas,1507
Houten,321
Huizen,406
Hulst,677
IJsselstein,353
Kaag en Braassem,1884
Kampen,166
Kapelle,678
Katwijk,537
Kerkrade,928
Koggenland,1598
Kollumerland en Nieuwkruisland,79
Korendijk,588
Krimpen aan den IJssel,542
Laarbeek,1659
Landerd,1685
Landgraaf,882
Landsmeer,415
Langedijk,416
Lansingerland,1621
Laren,417
Leek,22
Leerdam,545
Leeuwarden,80
Leeuwarderadeel,81
Leiden,546
Leiderdorp,547
Leidschendam-Voorburg,1916
Lelystad,995
Lemsterland,82
Leudal,1640
Leusden,327
Lingewaal,733
Lingewaard,1705
Lisse,553
Littenseradiel,140
Lochem,262
Loon op Zand,809
Lopik,331
Loppersum,24
Losser,168
Maasdonk,1671
Maasdriel,263
Maasgouw,1641
Maassluis,556
Maastricht,935
De Marne,1663
Marum,25
Medemblik,420
Meerssen,938
Menameradiel,1908
Menterwolde,1987
Meppel,119
Middelburg,687
Midden-Delfland,1842
Midden-Drenthe,1731
Mill en Sint Hubert,815
Millingen aan de Rijn,265
Moerdijk,1709
Molenwaard,1927
Montferland,1955
Montfoort,335
Mook en Middelaar,944
Muiden,424
Naarden,425
Neder-Betuwe,1740
Nederlek,643
Nederweert,946
Neerijnen,304
Nieuwegein,356
Nieuwkoop,569
Nijkerk,267
Nijmegen,268
Noord-Beveland,1695
Noordenveld,1699
Noordoostpolder,171
Noordwijk,575
Noordwijkerhout,576
"Nuenen, Gerwen en Nederwetten",820
Nunspeet,302
Nuth,951
Oegstgeest,579
Oirschot,823
Oisterwijk,824
Oldambt,1895
Oldebroek,269
Oldenzaal,173
Olst-Wijhe,1773
Ommen,175
Onderbanken,881
Oost Gelre,1586
Oosterhout,826
Ooststellingwerf,85
Oostzaan,431
Opmeer,432
Opsterland,86
Oss,828
Oud-Beijerland,584
Oude IJsselstreek,1509
Ouder-Amstel,437
Ouderkerk,644
Oudewater,589
Overbetuwe,1734
Papendrecht,590
Peel en Maas,1894
Pekela,765
Pijnacker-Nootdorp,1926
Purmerend,439
Putten,273
Raalte,177
Reimerswaal,703
Renkum,274
Renswoude,339
Reusel-De Mierden,1667
Rheden,275
Rhenen,340
Ridderkerk,597
Rijnwaarden,196
Rijssen-Holten,1742
Rijswijk,603
Roerdalen,1669
Roermond,957
De Ronde Venen,736
Roosendaal,1674
Rotterdam,599
Rozendaal,277
Rucphen,840
Schagen,441
Schermer,458
Scherpenzeel,279
Schiedam,606
Schiermonnikoog,88
Schijndel,844
Schinnen,962
Schoonhoven,608
Schouwen-Duiveland,1676
Simpelveld,965
Sint Anthonis,1702
Sint-Michielsgestel,845
Sint-Oedenrode,846
Sittard-Geleen,1883
SkarsterlÃÂ¯ÃÂ¿ÃÂ½n,51
Sliedrecht,610
Slochteren,40
Sluis,1714
Smallingerland,90
Soest,342
Someren,847
Son en Breugel,848
Spijkenisse,612
Stadskanaal,37
Staphorst,180
Stede Broec,532
Steenbergen,851
Steenwijkerland,1708
Stein,971
Stichtse Vecht,1904
Strijen,617
Súdwest-Fryslân,1900
Terneuzen,715
Terschelling,93
Texel,448
Teylingen,1525
Tholen,716
Tiel,281
Tilburg,855
Tubbergen,183
Twenterand,1700
Tynaarlo,1730
Tytsjerksteradiel,737
Ubbergen,282
Uden,856
Uitgeest,450
Uithoorn,451
Urk,184
Utrecht,344
Utrechtse Heuvelrug,1581
Vaals,981
Valkenburg aan de Geul,994
Valkenswaard,858
Veendam,47
Veenendaal,345
Veere,717
Veghel,860
Veldhoven,861
Velsen,453
Venlo,983
Venray,984
Vianen,620
Vlaardingen,622
Vlagtwedde,48
Vlieland,96
Vlissingen,718
Vlist,623
Voerendaal,986
Voorschoten,626
Voorst,285
Vught,865
Waalre,866
Waalwijk,867
Waddinxveen,627
Wageningen,289
Wassenaar,629
Waterland,852
Weert,988
Weesp,457
Werkendam,870
West Maas en Waal,668
Westerveld,1701
Westervoort,293
Westland,1783
Weststellingwerf,98
Westvoorne,614
Wierden,189
Wijchen,296
Wijdemeren,1696
Wijk bij Duurstede,352
Winsum,53
Winterswijk,294
Woensdrecht,873
Woerden,632
De Wolden,1690
Wormerland,880
Woudenberg,351
Woudrichem,874
Zaanstad,479
Zaltbommel,297
Zandvoort,473
Zederik,707
Zeevang,478
Zeewolde,50
Zeist,355
Zevenaar,299
Zoetermeer,637
Zoeterwoude,638
Zuidhorn,56
Zuidplas,1892
Zundert,879
Zutphen,301
Zwartewaterland,1896
Zwijndrecht,642
Zwolle,193
